Category ID,OnBuy Category Path
34251,"Arts, Crafts & Sewing > Other Crafts > Bath Bomb Making > Bath Bomb Ingredients"
24507,"Arts, Crafts & Sewing > Other Crafts > Bath Bomb Making > Bath Bomb Kits"
34250,"Arts, Crafts & Sewing > Other Crafts > Bath Bomb Making > Bath Bomb Moulds, Tools & Equipment"
9857,"Arts, Crafts & Sewing > Other Crafts > Candle & Soap Making > Candle & Soap Dyes"
9856,"Arts, Crafts & Sewing > Other Crafts > Candle & Soap Making > Candle & Soap Moulds"
9855,"Arts, Crafts & Sewing > Other Crafts > Candle & Soap Making > Candle & Soap Scents"
9858,"Arts, Crafts & Sewing > Other Crafts > Candle & Soap Making > Candle Making Kits"
9854,"Arts, Crafts & Sewing > Other Crafts > Candle & Soap Making > Candle Wax"
9853,"Arts, Crafts & Sewing > Other Crafts > Candle & Soap Making > Candle Wicks"
18244,"Arts, Crafts & Sewing > Other Crafts > Candle & Soap Making > Soap Making Kits"
34253,"Arts, Crafts & Sewing > Other Crafts > Clock Making > Clock Material & Parts"
34252,"Arts, Crafts & Sewing > Other Crafts > Clock Making > Watch & Clock Making Tools"
34254,"Arts, Crafts & Sewing > Other Crafts > Flower Arranging > Floral Foam"
34256,"Arts, Crafts & Sewing > Other Crafts > Flower Arranging > Flower Arrangement Tools"
34255,"Arts, Crafts & Sewing > Other Crafts > Flower Arranging > Flower Wrapping Papers"
34242,"Arts, Crafts & Sewing > Other Crafts > Metalworking Supplies > Metalworking Materials"
34241,"Arts, Crafts & Sewing > Other Crafts > Metalworking Supplies > Metalworking Tools"
18197,"Arts, Crafts & Sewing > Painting Supplies > Art Paints > Acrylic Paints"
18201,"Arts, Crafts & Sewing > Painting Supplies > Art Paints > Art Spray Paint"
18199,"Arts, Crafts & Sewing > Painting Supplies > Art Paints > Gouache Paint"
18200,"Arts, Crafts & Sewing > Painting Supplies > Art Paints > Oil Paints"
18198,"Arts, Crafts & Sewing > Painting Supplies > Art Paints > Watercolour Paint"
18202,"Arts, Crafts & Sewing > Painting Supplies > Painting Kits & Activities > Art Painting Sets"
16117,"Arts, Crafts & Sewing > Painting Supplies > Painting Kits & Activities > Diamond Painting"
9902,"Arts, Crafts & Sewing > Painting Supplies > Painting Kits & Activities > Glass Painting"
9806,"Arts, Crafts & Sewing > Painting Supplies > Painting Kits & Activities > Paint By Numbers"
9805,"Arts, Crafts & Sewing > Painting Supplies > Painting Tools > Art Paintbrushes"
9825,"Arts, Crafts & Sewing > Painting Supplies > Painting Tools > Art Painting Stencils"
9810,"Arts, Crafts & Sewing > Painting Supplies > Painting Tools > Paint Palettes"
9811,"Arts, Crafts & Sewing > Painting Supplies > Painting Tools > Palette Knives"
9809,"Arts, Crafts & Sewing > Painting Supplies > Preperation Supplies > Art Paint Primers & Varnishes"
9808,"Arts, Crafts & Sewing > Painting Supplies > Preperation Supplies > Paint Mediums"
9992,"Arts, Crafts & Sewing > Printmaking Supplies > Printing Presses & Accessories > Printing Press Accessories"
9991,"Arts, Crafts & Sewing > Printmaking Supplies > Printing Presses & Accessories > Printing Presses"
9995,"Arts, Crafts & Sewing > Printmaking Supplies > Printing Techniques & Tools > Etching & Lithography Supplies"
18231,"Arts, Crafts & Sewing > Printmaking Supplies > Printing Techniques & Tools > Lino Printing"
9994,"Arts, Crafts & Sewing > Printmaking Supplies > Printing Techniques & Tools > Relief Printing"
9990,"Arts, Crafts & Sewing > Printmaking Supplies > Printing Techniques & Tools > Screen Printing Supplies"
25889,"Arts, Crafts & Sewing > Printmaking Supplies > Printing Techniques & Tools > Sublimation Printing"
9993,"Arts, Crafts & Sewing > Printmaking Supplies > Printmaking Inks & Materials > Printmaking Inks"
9952,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Die Cutting & Embossing Supplies > Cutting Dies"
9950,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Die Cutting & Embossing Supplies > Die Cut & Embossing Machines"
9951,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Die Cutting & Embossing Supplies > Die Cut Embellishments"
9954,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Die Cutting & Embossing Supplies > Die Cutting Cartridges"
9953,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Die Cutting & Embossing Supplies > Die Cutting Machine Parts"
9955,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Die Cutting & Embossing Supplies > Die Cutting Vinyl"
18232,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Die Cutting & Embossing Supplies > Embossing Powder"
9956,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Die Cutting & Embossing Supplies > Embossing Stencils & Folders"
9970,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Paper Craft Supplies > Bookbinding Supplies"
9961,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Paper Craft Supplies > Card Making"
9963,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Paper Craft Supplies > Origami Supplies"
9962,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Paper Craft Supplies > Paper Craft Decoupage"
8075,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Paper Craft Supplies > Paper Craft Stencils"
9969,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Paper Craft Supplies > Paper Craft Templates"
9977,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Paper Craft Supplies > Paper Making"
9964,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Paper Craft Supplies > Papier Mache Supplies"
9958,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Paper Craft Supplies > Quilling"
10114,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Paper Craft Tools > Paper Bone Folders"
9966,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Paper Craft Tools > Paper Crimping Tools"
9968,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Paper Craft Tools > Paper Scoring Tools"
18211,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Scrapbook Supplies > Craft Punches"
9345,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Scrapbook Supplies > Craft Rubber Stamps"
9957,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Scrapbook Supplies > Photo Corner Mounts"
9960,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Scrapbook Supplies > Pre-Made Scrapbook Pages"
8076,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Scrapbook Supplies > Scrapbook Albums"
9850,"Arts, Crafts & Sewing > Scrapbooking & Paper Crafts > Scrapbook Supplies > Scrapbook Ink Pads"
